epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
101,7310.02,1.09758,1.87459,0.95542,1.38659,0,0.81965,0.72377,0.80998,0.53837,0.82697,0.7315,0.81115,0.51133,1.19797,2.00208,0.89244,1.48426,0,0.0007525,0.0007525,0.0007525
102,7381.91,1.0842,1.86492,0.92555,1.38219,0,0.83775,0.74754,0.8149,0.54219,0.84934,0.75788,0.83007,0.52547,1.1858,1.95173,0.86849,1.46851,0,0.000747997,0.000747997,0.000747997
103,7454.7,1.08248,1.86109,0.93923,1.38021,0,0.78454,0.76817,0.81294,0.54225,0.79054,0.77559,0.81486,0.52128,1.19309,1.99082,0.8692,1.47823,0,0.000743468,0.000743468,0.000743468
104,7528.68,1.07929,1.82238,0.92124,1.38012,0,0.81631,0.74457,0.81492,0.54513,0.83188,0.74974,0.81994,0.52608,1.18426,1.93852,0.87547,1.47866,0,0.000738913,0.000738913,0.000738913
105,7602.51,1.08053,1.83174,0.90825,1.37446,0,0.83965,0.73423,0.81475,0.53817,0.84724,0.73989,0.81692,0.52233,1.20448,1.97956,0.87401,1.49695,0,0.000734332,0.000734332,0.000734332
106,7675.42,1.05818,1.82139,0.9069,1.36659,0,0.77422,0.76112,0.81263,0.54308,0.78436,0.77108,0.81843,0.52256,1.1933,1.96997,0.88096,1.49054,0,0.000729725,0.000729725,0.000729725
107,7748.19,1.09486,1.84072,0.94339,1.38472,0,0.809,0.76215,0.81701,0.54326,0.81552,0.768,0.82218,0.52354,1.18841,1.93473,0.88358,1.48905,0,0.000725094,0.000725094,0.000725094
108,7820.75,1.07043,1.82509,0.92227,1.37241,0,0.80152,0.77042,0.81914,0.54937,0.80346,0.77365,0.81817,0.53266,1.19467,1.93708,0.87145,1.48987,0,0.000720439,0.000720439,0.000720439
109,7893.6,1.07019,1.83856,0.91229,1.3767,0,0.81469,0.7547,0.81189,0.54282,0.82362,0.76297,0.81763,0.52599,1.19455,1.95413,0.86944,1.48933,0,0.000715761,0.000715761,0.000715761
110,7966.37,1.06677,1.81923,0.89601,1.36995,0,0.81944,0.76501,0.82252,0.55156,0.82941,0.77432,0.829,0.53105,1.17475,1.96083,0.85476,1.47569,0,0.000711059,0.000711059,0.000711059
111,8039.27,1.06216,1.83169,0.90715,1.37265,0,0.82863,0.7456,0.81533,0.54042,0.83782,0.75388,0.81913,0.52381,1.20021,1.96109,0.8707,1.49076,0,0.000706335,0.000706335,0.000706335
112,8111.86,1.0813,1.84127,0.89586,1.36729,0,0.80798,0.77146,0.81758,0.54875,0.8285,0.77042,0.82514,0.53048,1.17996,1.94469,0.85486,1.47659,0,0.000701588,0.000701588,0.000701588
113,8185.45,1.05156,1.79866,0.87588,1.35525,0,0.82036,0.74457,0.81199,0.54616,0.8428,0.74849,0.81924,0.52326,1.18072,1.97697,0.87331,1.47034,0,0.00069682,0.00069682,0.00069682
114,8259.87,1.06092,1.80173,0.89305,1.3517,0,0.83059,0.75801,0.82518,0.5568,0.8342,0.76112,0.82842,0.53408,1.16897,1.9665,0.83622,1.45768,0,0.000692031,0.000692031,0.000692031
115,8333.29,1.05085,1.80474,0.89581,1.35035,0,0.81903,0.74974,0.81917,0.55687,0.82176,0.76284,0.82626,0.53267,1.16155,1.93213,0.85052,1.46027,0,0.000687222,0.000687222,0.000687222
116,8405.07,1.05865,1.79042,0.8779,1.35422,0,0.81629,0.75801,0.82318,0.55515,0.82534,0.76525,0.82337,0.53086,1.17627,1.93567,0.85846,1.47266,0,0.000682392,0.000682392,0.000682392
117,8477.76,1.05055,1.79381,0.8825,1.35302,0,0.8406,0.7526,0.82659,0.55389,0.85012,0.76112,0.83266,0.53579,1.16652,1.93201,0.8443,1.46158,0,0.000677543,0.000677543,0.000677543
118,8552.86,1.04264,1.81393,0.87014,1.35573,0,0.8406,0.75388,0.8283,0.56323,0.84288,0.76555,0.83186,0.539,1.15637,1.96344,0.83777,1.44936,0,0.000672675,0.000672675,0.000672675
